"PHILIPPINES","....MP - Tilapia",..,..,160.00,2075.00,116.00,160.00,..,..,..,..,..,..,..,20.80,..,..,..,..,..,..,107.33,1.60
"PHILIPPINES","....MP - Tiger prawn",680.00,200.00,200.00,800.00,832.00,36.00,40.00,105.00,..,..,..,60.00,..,54.40,36.75,..,..,..,..,..,..,..
"PHILIPPINES","....MP - Mudcrab",3280.00,4270.00,4221.00,2785.00,2767.00,2559.00,2575.00,3071.00,2954.00,145.00,..,8560.43,..,..,..,..,..,5.10,..,..,..,..
"PHILIPPINES","....MP - Endeavor prawn",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.18,..
"PHILIPPINES","....MP - White shrimp",..,..,..,..,252.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","....MP - Grouper",1810.00,12150.00,622.00,1608.00,5181.00,4228.00,5958.00,7741.00,9582.00,16300.88,13563.58,25025.04,39708.10,29040.31,5183.59,3179.18,5936.89,4.00,10.80,117.20,152.37,255.18
"PHILIPPINES","....MP - Siganid",632.00,..,340.00,1870.00,4414.00,1901.00,839.00,1866.00,3138.00,3190.60,2714.60,3422.44,5859.72,4363.00,4020.86,1777.94,1049.26,938.06,187.09,113.76,3.00,86.21
"PHILIPPINES","....MP - Spiny lobster",..,800.00,1250.00,3614.00,10595.00,3099.00,2257.00,3876.00,9200.00,9560.00,10499.96,61232.66,80885.23,64517.42,11018.81,9297.15,8899.95,8256.74,11248.93,10001.52,7837.00,11259.10
"PHILIPPINES","....MP - Others",730.00,4475.00,80.00,1700.00,3528.00,2042.00,638.00,1333.00,4037.00,2448.14,2118.21,7175.34,2110.84,1321.40,1053.37,221.01,2825.66,2159.37,5097.56,3007.11,214.58,242.33
"PHILIPPINES","..MARINE CAGE",19586.00,53578.00,210052.00,259431.00,257346.00,366311.00,553674.00,812295.00,1734217.00,2236060.38,3541939.01,4551691.24,8764589.38,6405020.68,7596657.34,9410496.76,11556377.44,10596592.42,11267269.64,10927989.60,10776760.70,11478206.96
"PHILIPPINES","....MC - Milkfish",200.00,9758.00,156899.00,189199.00,191909.00,277929.00,500101.00,733860.00,1648876.00,2120118.00,3333781.56,4201062.58,5196004.52,5337889.83,5601319.27,7641933.76,9338141.75,9607652.27,10960602.03,10606689.08,10592508.76,11307517.57
"PHILIPPINES","....MC - Tilapia",..,..,..,..,109.00,..,790.00,1488.00,2.00,..,1714.00,1013.38,7.13,603.44,575.00,216.39,653.10,10.00,..,..,129.31,457.40
"PHILIPPINES","....MC - Tiger prawn",..,..,1850.00,1500.00,2000.00,..,196.00,..,..,33.00,..,..,..,21.60,..,..,..,..,..,..,61.30,..
"PHILIPPINES","....MC - Mudcrab",..,1970.00,900.00,710.00,450.00,400.00,563.00,848.00,1409.00,1730.00,2053.50,628.85,1150.84,2901.94,442.00,..,..,12.50,..,353.05,..,2037.04
"PHILIPPINES","....MC - Endeavor prawn",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
