Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1988","1988","tonnes","125670","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1989","1989","tonnes","111375","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1990","1990","tonnes","135054","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1991","1991","tonnes","116552","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1992","1992","tonnes","89313","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1993","1993","tonnes","16065","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1994","1994","tonnes","16448","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1995","1995","tonnes","39591","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1996","1996","tonnes","17615","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1997","1997","tonnes","12516","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1998","1998","tonnes","3743","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1999","1999","tonnes","20526","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","2000","2000","tonnes","17448","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","2001","2001","tonnes","18742","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","2002","2002","tonnes","7177","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","2003","2003","tonnes","3150","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","2004","2004","tonnes","204213","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","2005","2005","tonnes","42294","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","2006","2006","tonnes","148181","A","Aggregate, may include official, semi-official, estimated or calculated data"
