province,type,metric,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bengkulu,freshwater pond,area_hectares,104,37,33,87,155,146,186,13.26,117,82,53
Lampung,freshwater pond,area_hectares,10,72,110,22.352,98.055,189,3.117,2.546,4.978,5.165,5.385
DKI Jakarta,freshwater pond,area_hectares,117,101,99,118,125,96,93,28,25,21,93
Jawa Barat,freshwater pond,area_hectares,41.609,21.123,23.832,19.928,51.529,30.597,20.547,1.535,20.433,20.776,22.986
Banten,freshwater pond,area_hectares,3.332,6.406,18.213,68.912,1.912,3.52,3.261,888,4.085,4.7,9.245
Jawa Tengah,freshwater pond,area_hectares,750,1.815,780,1.067,1.11,781,960,3.36,1.008,876,1.119
DI Yogyakarta,freshwater pond,area_hectares,2.379,1.6,1.669,2.13,2,20.281,3.399,20.496,39.08,16.204,16.517
Jawa Timur,freshwater pond,area_hectares,1.479,1.194,1.274,1.874,1.617,1.244,1.426,4.668,1.667,1.665,1.674
Bali,freshwater pond,area_hectares,526,432,498,496,470,937,796,763,1.203,1.154,997
Nusa Tenggara Barat,freshwater pond,area_hectares,6.45,6.826,4.637,4.637,8.689,2.277,3.377,2.629,2.875,2.946,2.882
Nusa Tenggara Timur,freshwater pond,area_hectares,1.012,984,1.221,304,304,175,161,283,326,473,688
Kalimantan Barat,freshwater pond,area_hectares,2.887,1.722,1.3,2.539,22.183,5.231,5.276,6.128,7.353,6.758,7.086
Kalimantan Tengah,freshwater pond,area_hectares,325,269,228,359,380,790,989,1.21,1.434,1.523,1.63
Kalimantan Selatan,freshwater pond,area_hectares,629,534,512,545,517,550,479,721,1.381,1.375,1.396
Kalimantan Timur,freshwater pond,area_hectares,561,4.077,4.847,6.366,5.965,4.839,2.299,2.405,2.469,8.916,8.34
Kalimantan Utara,freshwater pond,area_hectares,,,,,,,,,,,206
Sulawesi Utara,freshwater pond,area_hectares,1.937,285,2.101,2.377,4.908,4.893,7.587,7.385,7.72,9.264,9.264
Gorontalo,freshwater pond,area_hectares,1.395,1.138,1.428,1.401,1.668,1.693,2.152,903,2.228,1.899,2.355
Sulawesi Tengah,freshwater pond,area_hectares,2.982,10.081,3.984,4.54,4.774,5.136,5.894,1.716,10.49,7.211,7.352
Sulawesi Selatan,freshwater pond,area_hectares,894,847,819,1.146,1.086,1.659,1.317,6.928,1.799,2.181,1.602
Sulawesi Barat,freshwater pond,area_hectares,66,46,74,66,385,390,201,2.122,344,327,268
Sulawesi Tenggara,freshwater pond,area_hectares,-,2.497,58,129,301,407,889,344,820,993,789
Maluku,freshwater pond,area_hectares,142,153,157,420,680,32,21,46,74,11,20
Maluku Utara,freshwater pond,area_hectares,645,117,-,1.081,7,-,205,574,607,575,377
Papua,freshwater pond,area_hectares,4,632,95,-,466,204,-,1.8,888,918,5.177
