province,aquaculture_type,units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Lampung,freshwater pond,ton,6.011,11.167,-,-,-,178,505,336,245,366,327,2.563,24.575,58.526,11.973,14.430
DKI Jakarta,freshwater pond,ton,3.918,5.706,1.601,2.467,2.685,6.830,3.365,2.683,2.905,915,14.055,5.617,4.156,3.036,5.168,4.266
Jawa Barat,freshwater pond,ton,913,1.601,99.974,75.028,109.334,110.247,127.578,118.162,147.941,158.871,247.369,295.715,357.026,424.231,478.758,517.622
Jawa Tengah,freshwater pond,ton,0,4.887,23.456,25.248,17.523,25.360,28.350,34.619,44.191,55.031,66.964,94.566,112.088,160.987,199.085,175.914
DI Yogyakarta,freshwater pond,ton,21.133,25.062,4.737,7.041,5.463,8.225,9.059,11.427,14.100,17.009,38.772,43.795,49.412,57.006,62.276,65.542
Jawa Timur,freshwater pond,ton,3.814,3.907,22.199,42.034,38.476,31.026,33.379,35.711,37.704,42.690,65.869,115.086,176.371,217.162,192.566,210.211
Banten,freshwater pond,ton,107.544,98.747,4.583,6.236,4.741,5.254,4.972,8.319,7.423,9.409,12.217,12.864,15.381,17.061,18.289,17.535
Bali,freshwater pond,ton,14.564,18.913,512,972,629,680,654,786,875,1.107,2.626,6.602,6.179,7.990,9.297,6.481
Nusa Tenggara Barat,freshwater pond,ton,486,490,2.403,2.268,1.478,2.244,4.822,2.583,2.612,3.024,3.927,33.016,14.927,17.761,21.812,21.004
Nusa Tenggara Timur,freshwater pond,ton,1.570,1.624,268,572,228,267,1.804,584,853,775,809,966,1.298,1.493,1.853,1.789
Kalimantan Barat,freshwater pond,ton,257,258,1.149,1.796,1.149,1.532,2.427,2.302,2.461,6.106,4.509,7.215,8.013,13.931,19.366,17.876
Kalimantan Tengah,freshwater pond,ton,1.419,1.216,553,1.310,547,863,857,979,2.200,5.161,8.706,12.505,18.184,21.448,22.784,29.202
Kalimantan Selatan,freshwater pond,ton,237,322,1.578,2.021,3.326,3.282,4.923,5.976,8.144,19.746,31.329,27.045,35.249,37.156,41.668,54.180
Kalimantan Timur,freshwater pond,ton,679,797,236,277,330,567,986,5.079,2.120,1.808,2.060,2.214,2.720,3.087,3.680,2.641
Kalimantan Utara,freshwater pond,ton,,,,,,,,,,,,,,,,559
Sulawesi Utara,freshwater pond,ton,189,232,2.727,3.334,3.339,4.294,4.194,5.995,7.158,7.953,6.976,33.039,34.678,81.762,72.641,68.598
Sulawesi Tengah,freshwater pond,ton,0,233,24,11.267,1.173,1.580,1.629,1.663,1.617,3.537,4.294,4.394,6.793,6.546,6.460,8.040
Sulawesi Selatan,freshwater pond,ton,3.807,3.807,9.570,3.193,3.353,2.904,1.737,2.168,2.315,3.662,4.886,6.273,6.987,8.222,8.780,9.308
Sulawesi Tenggara,freshwater pond,ton,-,-,2.463,1.015,458,4.392,911,926,486,848,3.730,4.169,6.080,6.176,4.967,2.855
Gorontalo,freshwater pond,ton,2.854,2.926,851,28,151,113,380,470,400,520,652,1.025,4.477,5.531,9.492,4.166
Sulawesi Barat,freshwater pond,ton,2.235,2.611,-,-,-,-,559,30,26,158,426,608,538,867,1.355,1.882
Maluku,freshwater pond,ton,606,816,4,2,46,122,90,135,134,142,34,52,103,1.683,163,183
Maluku Utara,freshwater pond,ton,4,4,3.377,11,136,168,174,200,223,429,1.351,1.930,1.215,323,569,322
Papua Barat,freshwater pond,ton,1.461,1.462,-,-,-,4,3.211,169,914,1.192,796,2.335,5.184,1.717,1.777,1.784
