province,aquaculture_type,units,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Kalimantan Selatan,total,hectares,10.283,9.247,10.364,14.044,15.120,14.579,15.525,15.827,18.445,18.860,18.877
Kalimantan Timur,total,hectares,50.310,100.848,57.408,110.268,186.415,185.130,258.052,178.097,173.388,171.119,123.368
Kalimantan Utara,total,hectares,,,,,,,,,,,81.156
Sulawesi Utara,total,hectares,3.704,1.972,3.870,4.256,7.594,7.935,11.731,14.368,15.954,16.190,16.311
Gorontalo,total,hectares,12.667,12.880,15.813,16.045,23.017,26.339,30.172,159.166,34.652,35.100,42.197
Sulawesi Tengah,total,hectares,175.897,161.309,164.946,176.393,128.192,148.172,160.568,48.295,174.654,174.301,177.966
Sulawesi Selatan,total,hectares,27.848,14.165,13.813,28.061,21.513,48.552,48.616,22.679,49.352,48.892,38.372
Sulawesi Barat,total,hectares,2.216,2.182,1.055,2.047,4.979,4.920,5.724,30.365,5.890,8.438,8.458
Sulawesi Tenggara,total,hectares,-,16.315,12.167,12.561,17.314,16.651,21.830,5.484,22.452,24.355,26.038
Maluku,total,hectares,2.542,1.196,1.199,1.688,1.945,24.477,46.760,50.430,52.447,7.620,17.621
Maluku Utara,total,hectares,4.501,278,356,4.450,209,1.559,1.756,2.789,1.928,1.834,4.053
Papua,total,hectares,4,994,465,0,605,474,410,2.438,1.824,1.780,44.143
Papua Barat,total,hectares,1.885,3.015,1.428,1.672,2.054,6.269,1.952,1.754,2.368,3.257,3.181
Indonesia,total,hectares,810.191,772.155,762.320,1.071.743,1.125.041,1.114.161,1.198.379,1.124.043,1.278.464,1.253.773,1.321.874
